문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
22,"다음과 같이 레코드가 구성되어 있을 때, 이진 검색 방법으로 14를 찾을 경우 비교되는 횟수는?",2,3,4,5,2,"이진 검색, 레코드","이진 검색은 정렬된 배열에서 중간값과 비교하여 탐색 범위를 반으로 줄여가는 방법이다. 따라서 14를 찾기 위해서는 4번의 비교가 필요하다. 처음에 전체 배열에서 중간값을 선택한 후, 14보다 크면 왼쪽 부분 배열을 선택하고, 작으면 오른쪽 부분 배열을 선택하여 계속해서 범위를 좁혀가며",2,2
23,소프트웨어 공학에서 워크스루(Walkthrough)에 대한 설명으로 틀린 것은?,"사용사례를 확장하여 명세하거나 설계 다이어그램, 원시코드, 테스트 케이스 등에 적용할 수 있다.","복잡한 알고리즘 또는 반복, 실시간 동작, 병행 처리와 같은 기능이나 동작을 이해하려고 할 때 유용하다.",인스펙션(Inspection)과 동일한 의미를 가진다.,단순한 테스트 케이스를 이용하여 프로덕트를 수작업으로 수행해 보는 것이다.,3,"워크스루(Walkthrough), 인스펙션(Inspection)","워크스루는 인스펙션과는 다른 것으로, 소프트웨어의 사용사례를 확장하거나 설계, 코드, 테스트 케이스 등에 적용할 수 있는 방법이며, 복잡한 알고리즘이나 기능의 이해에 도움을 준다. 인스펙션은 코드 리뷰 방법 중 하나로서,",2,2
24,소프트웨어의 개발과정에서 소프트웨어의 변경사항을 관리하기 위해 개발된 일련의 활동을 뜻하는 것은?,복호화,형상관리,저작권,크랙,2,"변경사항, 관리, ","소프트웨어의 변경사항을 관리하기 위한 일련의 활동은 형상관리라고 합니다. 형상관리는 소프트웨어의 버전 관리, 변경 이력 추적, 협업을 위한 도구 등을 이용하여 소프트웨어의 변경사항을 체계적으로 관리하고 추적하는 과정을 말합니다. 이를 통해 소프트웨어 개발",2,2
25,테스트 케이스와 관련한 설명으로 틀린 것은?,테스트의 목표 및 테스트 방법을 결정하기 전에 테스트 케이스를 작성해야 한다.,프로그램에 결함이 있더라도 입력에 대해 정상적인 결과를 낼 수 있기 때문에 결함을 검사할 수 있는 테스트 케이스를 찾는 것이 중요하다.,"개발된 서비스가 정의된 요구 사항을 준수하는지 확인하기 위한 입력 값과 실행 조건, 예상 결과의 집합으로 볼 수 있다.",테스트 케이스 실행이 통과되었는지 실패하였는지 판단하기 위한 기준을 테스트 오라클(Test Oracle)이라고 한다.,1,"테스트 케이스, 테스트 오라클, ","테스트 케이스는 프로그램의 결함을 검사하기 위한 입력 값, 실행 조건, 예상 결과의 집합이며, 테스트 오라클은 테스트 케이스 실행의 성공 또는 실패를 판단하기 위한 기준이다.",2,2
26,객체지향 개념을 활용한 소프트웨어 구현과 관련한 설명 중 틀린 것은?,객체(Object)란 필요한 자료 구조와 수행되는 함수들을 가진 하나의 독립된 존재이다.,JAVA에서 정보은닉(Information Hiding)을 표기할 때 private의 의미는 '공개'이다.,상속(Inheritance)은 개별 클래스를 상속 관계로 묶음으로써 클래스 간의 체계화된 전체 구조를 파악하기 쉽다는 장점이 있다.,같은 클래스에 속하는 개개의 객체이자 하나의 클래스에서 생성된 객체를 인스턴스(Instance)라고 한다.,2,정보은닉(Information Hiding),"정보은닉은 객체지향 프로그래밍에서 중요한 개념으로, 객체의 내부 구현을 외부로부터 숨기고 오직 필요한 정보만을 외부에 노출시키는 것을 말한다. 이를 통해 객체 간의 의존성을 줄이고 코드의 유지보수성을 높일 수 있다.",2,2
27,DRM(Digital Rights Management)과 관련한 설명으로 틀린 것은?,"디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는 접근 제어 기술을 의미한다.","디지털 미디어의 생명 주기 동안 발생하는 사용 권한 관리, 과금, 유통 단계를 관리하는 기술로도 볼 수 있다.",클리어링 하우스(Clearing House)는 사용자에게 콘텐츠 라이센스를 발급하고 권한을 부여해주는 시스템을 말한다.,원본을 안전하게 유통하기 위한 전자적 보안은 고려하지 않기 때문에 불법 유통과 복제의 방지는 불가능하다.,4,"접근 제어 기술, 클리어링 하우스","DRM은 디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 접근 제어 기술을 사용하는 것으로, 클리어링 하우스는 콘텐츠 라이센스를 발급하고 권한을 부여하는 시스템을 말한다. 이를 통해 디지털 미디어의 사용 권한을 관리하",2,2
28,위험 모니터링의 의미로 옳은 것은?,위험을 이해하는 것,첫 번째 조치로 위험을 피할 수 있도록 하는 것,위험 발생 후 즉시 조치하는 것,위험 요소 징후들에 대하여 계속적으로 인지하는 것,4,위험 모니터링,"위험 모니터링은 위험을 지속적으로 감지하고 평가하여 조치를 취하는 것을 의미합니다. 이는 위험을 이해하고 예방하기 위해 위험 요소들을 지속적으로 파악하고 조치하는 것을 포함합니다. 위험 발생 후 즉시 대응하는 것도 중요하지만, 위험 모니터링은 미리 예방하고 대비하는",2,2
29,동시에 소스를 수정하는 것을 방지하며 다른 방향으로 진행된 개발 결과를 합치거나 변경 내용을 추적할 수 있는 소프트웨어 버전 관리 도구는?,RCS(Revision Control System),RTS(Reliable Transfer Service),RPC(Remote Procedure Call),RVS(Relative Version System),1,"소프트웨어 버전 관리 도구, ","소프트웨어 버전 관리 도구는 여러 사람이 동시에 소스코드를 수정하더라도 충돌을 방지하고, 개발 결과를 합치거나 변경 내용을 추적할 수 있도록 도와주는 도구이다. 이를 통해 효율적인 협업이 가능해지고, 개발 과정의 투명성과 안정성을 유지할 수",2,2
30,화이트박스 테스트와 관련한 설명으로 틀린 것은?,화이트박스 테스트의 이해를 위해 논리흐름도(Logic-Flow Diagram)를 이용할 수 있다.,테스트 데이터를 이용해 실제 프로그램을 실행함으로써 오류를 찾는 동적 테스트(Dynamic Test)에 해당한다.,프로그램의 구조를 고려하지 않기 때문에 테스트 케이스는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한다.,테스트 데이터를 선택하기 위하여 검증기준(Test Coverage)을 정한다.,3,"화이트박스 테스트, 동적 테스트, ","화이트박스 테스트는 소프트웨어의 내부 구조와 동작을 검증하는 테스트 방법이다. 이를 위해 프로그램의 논리흐름도를 이용하여 테스트 케이스를 설계하거나, 프로그램의 구조를 고려하여 테스트 데이터를 선택한다. 동적 테스트는 테스트 데이터를 이용해 실제 프로그램을 실행하여 오",2,2
31,알고리즘과 관련한 설명으로 틀린 것은?,주어진 작업을 수행하는 컴퓨터 명령어를 순서대로 나열한 것으로 볼 수 있다.,검색(Searching)은 정렬이 되지 않은 데이터 혹은 정렬이 된 데이터 중에서 키값에 해당되는 데이터를 찾는 알고리즘이다.,정렬(Sorting)은 흩어져있는 데이터를 키값을 이용하여 순서대로 열거하는 알고리즘이다.,선형 검색은 검색을 수행하기 전에 반드시 데이터의 집합이 정렬되어 있어야 한다.,2,"정렬, 검색, ","정렬(Sorting)은 데이터를 특정한 기준에 따라 순서대로 정리하는 알고리즘이며, 검색(Searching)은 데이터 중에서 원하는 값을 찾아내는 알고리즘입니다. 이 둘은 서로 다른 작업을 수행하는 알고리즘이며, 정렬이 된 데이터일지라도 검색 알고리즘을 사용하여 특정 값을 찾을 수 있습니다. 따라서, 선지 4의 내용",2,2
32,버블 정렬을 이용하여 다음 자료를 오름차순으로 정렬할 경우 PASS 1의 결과는?,"6, 9, 7, 3, 5","3, 9, 6, 7, 5","3, 6, 7, 9, 5","6, 7, 3, 5, 9",3,"버블 정렬, 오름차순, ","버블 정렬은 인접한 두 원소를 비교하여 정렬하는 알고리즘으로, 오름차순으로 정렬할 때 큰 값을 오른쪽으로 이동시키는 과정을 반복한다. PASS 1에서는 첫 번째 원소부터 마지막 바로 앞의 원소까지 비교하면서 정렬을 진행한다. 주어진 선지들 중에서 PASS",2,2
33,다음은 인스펙션(Inspection) 과정을 표현한 것이다. (가)~(마)에 들어갈 말을 보기에서 찾아 바르게 연결한 것은?,"(가) - ㉡, (나) - ㉢","(나) - ㉠, (다) - ㉢","(다) - ㉢, (라) - ㉤","(라) - ㉣, (마) - ㉢",2,"인스펙션 과정, , 인스펙션, 과정, ","인스펙션은 품질을 점검하고 평가하는 과정을 말하며, 제품 또는 서비스의 품질을 확보하기 위해 수행된다. 이 과정은 다양한 단계를 거치며 진행되는데, 주로 제품이나 서비스의 특정 부분을 검사하고 평가하여 문",2,2
34,소프트웨어를 보다 쉽게 이해할 수 있고 적은 비용으로 수정할 수 있도록 겉으로 보이는 동작의 변화 없이 내부구조를 변경하는 것은?,Refactoring,Architecting,Specification,Renewal,2,"Refactoring, 내부구조 변경, ","Refactoring은 소프트웨어의 내부구조를 변경하여 코드를 보다 이해하기 쉽고 유지보수하기 쉽도록 만드는 작업을 말합니다. 이 과정에서 겉으로 보이는 동작의 변화는 없지만, 코드의 품질과 유지보수성이 향상됩니다.",2,2
35,단위 테스트(Unit Test)와 관련한 설명으로 틀린 것은?,구현 단계에서 각 모듈의 개발을 완료한 후 개발자가 명세서의 내용대로 정확히 구현되었는지 테스트한다.,모듈 내부의 구조를 구체적으로 볼 수 있는 구조적 테스트를 주로 시행한다.,"필요 데이터를 인자를 통해 넘겨주고, 테스트 완료 후 그 결과값을 받는 역할을 하는 가상의 모듈을 테스트 스텁(Stub)이라고 한다.","테스트할 모듈을 호출하는 모듈도 있고, 테스트할 모듈이 호출하는 모듈도 있다.",1,"구조적 테스트, ","구조적 테스트는 모듈 내부의 구조를 구체적으로 볼 수 있는 테스트 방법을 의미합니다. 이는 모듈의 내부 동작을 검증하고 테스트하는 것을 중점으로 하는 테스트 방법이며, 단위 테스트에서 주로 시행됩니다.",2,2
36,IDE(Integrated Development Environment) 도구의 각 기능에 대한 설명으로 틀린 것은?,Coding - 프로그래밍 언어를 가지고 컴퓨터 프로그램을 작성할 수 있는 환경을 제공,Compile - 저급언어의 프로그램을 고급언어 프로그램으로 변환하는 기능,Debugging - 프로그램에서 발견되는 버그를 찾아 수정할 수 있는 기능,Deployment - 소프트웨어를 최종 사용자에게 전달하기 위한 기능,3,"Compile, 저급언어, 고급언어, ","IDE의 Compile 기능은 저급언어(기계어)로 작성된 프로그램을 고급언어(예를 들어 C, Java 등)로 변환하는 것이 아니라, 소스 코드를 기계어로 번역하여 실행 가능한 프로그램 파일로 만드는 과정을 의미합니다. 따라서 ""저급언어의 프로그램을 고급언어 프로그램으로",2,2
37,아래 Tree 구조에 대하여 후위 순회(Postorder) 한 결과는?,a → b → d → c → e → g → h → f,d → b → g → h → e → f → c → a,d → b → a → g → e → h → c → f,a → b → d → g → e → h → c → f,2,"후위 순회(Postorder), Tree, ","후위 순회(Postorder)는 왼쪽 서브트리를 먼저 방문한 후에 오른쪽 서브트리를 방문하고 마지막으로 루트 노드를 방문하는 순회 방법이다. 따라서 주어진 Tree를 후위 순회하면 먼저 d, b, g, h, e, f, c, a 순서로 방문하게 된다. 따라서 올바른 후위 순회",2,2
38,인터페이스 구현 시 사용하는 기술로 속성-값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은?,JSON,HTML,AVPN,DOF,3,"속성-값 쌍(Attribute-Value Pairs), 데이터 오브젝트","속성과 값으로 구성된 데이터를 표현하는 포맷으로, 주로 웹 개발에서 데이터를 교환하고 전달하는데 사용된다. 이러한 형식을 사용하는 개방형 표준 포맷으로는 JSON이 널리 사용된다.",2,2
39,"순서가 있는 리스트에서 데이터의 삽입(Push), 삭제(Pop)가 한 쪽 끝에서 일어나며 LIFO(Last-In-First-Out)의 특징을 가지는 자료구조는?",Tree,Graph,Stack,Queue,4,"LIFO, 삽입, 삭제, ",LIFO(Last-In-First-Out)의 특징을 가지며 데이터의 삽입과 삭제가 한 쪽 끝에서 이루어지는 자료구조는 Stack이다. Stack은 가장 최근에 삽입된 데이터가 가장 먼저 삭제되는 구조를 가지고 있어서 후입선출의 특성을 가지고 있다.,2,2
40,다음 중 단위 테스트 도구로 사용될 수 없는 것은?,CppUnit,JUnit,HttpUnit,"IgpUnit

3과목 : 데이터베이스 구축",1,단위 테스트 도구,"단위 테스트 도구는 소프트웨어의 각 부분이 올바르게 작동하는지 테스트하는 데 사용되는 도구이다. 따라서 단위 테스트 도구로 사용될 수 없는 것은 단위 테스트를 지원하지 않는 HttpUnit이다. 이 도구는 웹 애플리케이션의 통합 테스트에 사용되며, 단위 테스트에 적",2,2
41,다음 조건을 모두 만족하는 정규형은?,BCNF,제1정규형,제2정규형,제3정규형,4,"BCNF, 제2정규형, ","BCNF는 제2정규형을 만족하면서 추가적인 조건을 만족하는 정규형이다. 따라서 BCNF는 제2정규형을 만족해야 하며, 더불어 모든 결정자가 후보키여야 한다는 조건을 만족해야 한다.",3,2
42,데이터베이스의 트랜잭션 성질들 중에서 다음 설명에 해당하는 것은?,Atomicity,Consistency,Isolation,Durability,2,"트랜잭션 성질, ","데이터베이스의 트랜잭션 성질은 ACID라고 불리는 Atomicity, Consistency, Isolation, Durability를 나타냅니다. 이 중에서 Atomicity는 ""원자성""을 의미하며, 트랜잭션 내의 모든 작업이 성공 또는 실패로 처리되어야 함을 나타냅니다.",3,2
