문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
11,UML 다이어그램 중 정적 다이어그램이 아닌 것은?,컴포넌트 다이어그램,배치 다이어그램,순차 다이어그램,패키지 다이어그램,3,정적 다이어그램,"정적 다이어그램은 시스템의 정적인 구조를 보여주는 다이어그램이며, 클래스 다이어그램, 객체 다이어그램, 패키지 다이어그램 등이 해당된다. 따라서, 순차 다이어그램은 시간의 흐름에 따른 객체 간의 상호작용을 보여주는 동적 다이어그램이므로 정적 다이어그램이 아",1,1
12,"LOC기법에 의하여 예측된 총 라인수가 36000라인, 개발에 참여할 프로그래머가 6명, 프로그래머들의 평균 생산성이 월간 300라인일 때 개발에 소요되는 기간을 계산한 결과로 가장 옳은 것은?",5개월,10개월,15개월,20개월,4,"LOC기법, 생산성, ","LOC기법은 Lines of Code(코드 라인 수)를 통해 개발에 소요되는 시간을 예측하는 방법이다. 이 문제에서는 LOC기법에 의해 예측된 총 라인수가 주어졌고, 개발에 참여할 프로그래머의 수와 평균 생산성도 주어졌다. 따라서 생산성과 총 라인수를 고려하여 개발에 소",1,1
13,클래스 설계원칙에 대한 바른 설명은?,단일 책임원칙 : 하나의 클래스만 변경 가능 해야한다.,개방-폐쇄의 원칙 : 클래스는 확장에 대해 열려 있어야 하며 변경에 대해 닫혀 있어야 한다.,리스코프 교체의 원칙 : 여러 개의 책임을 가진 클래스는 하나의 책임을 가진 클래스로 대체되어야 한다.,의존관계 역전의 원칙 : 클라이언트는 자신이 사용하는 메소드와 의존관계를 갖지 않도록 해야 한다.,2,"클래스 설계, 원칙","클래스 설계에 대한 원칙들을 지켜야 코드의 유지보수성, 확장성, 재사용성을 높일 수 있으며, 이를 통해 효율적이고 효과적인 소프트웨어를 개발할 수 있다.",1,1
14,GoF(Gangs of Four) 디자인 패턴에서 생성(Creational) 패턴에 해당하는 것은?,컴퍼지트(Composite),어댑터(Adapter),추상 팩토리(Abstract Factory),옵서버(Observer),3,"생성(Creational) 패턴, ","GoF(Gangs of Four) 디자인 패턴 중 생성(Creational) 패턴은 객체의 생성과 관련된 패턴으로, 객체 생성 방식을 추상화하여 유연성을 높이는데 사용된다. 추상 팩토리(Abstract Factory)는 생성 패턴 중 하나로, 관련된 객체들을 생성하거나 구성하는 인터페이스를 제공하는 패턴이다. 따라서, 선지 3: 추상 팩토",1,1
15,아키텍처 설계과정이 올바른 순서로 나열된 것은?,㉮ → ㉯ → ㉰ → ㉱ → ㉲,㉲ → ㉮ → ㉯ → ㉱ → ㉰,㉮ → ㉲ → ㉯ → ㉱ → ㉰,㉮ → ㉯ → ㉰ → ㉲ → ㉱,1,"아키텍처 설계과정, 올바른 순서","아키텍처 설계과정은 일반적으로 요구사항 분석(㉮)을 통해 시작하여 아키텍처 설계(㉯), 시스템 구현(㉰), 시스템 테스트(㉱), 유지보수(㉲) 순서로 진행됩니다. 따라서 올바른 순서는 ㉮ →",1,1
16,사용자 인터페이스를 설계할 경우 고려해야 할 가이드라인과 가장 거리가 먼 것은?,심미성을 사용성보다 우선하여 설계해야 한다.,효율성을 높이게 설계해야 한다.,발생하는 오류를 쉽게 수정할 수 있어야 한다.,사용자에게 피드백을 제공해야 한다.,1,"사용자 인터페이스 설계, 가이드라인","사용자 인터페이스를 설계할 때는 사용자의 편의와 만족을 최우선으로 고려해야 하며, 이를 위해 사용성, 효율성, 오류 수정 가능성, 피드백 제공 등 다양한 가이드라인을 따라야 한다. 이 중에서 심미성을 우선시하는 것은 사용자 인터페이스 설계에서 가장 거리가",1,1
17,소프트웨어 설계에서 자주 발생하는 문제에 대한 일반적이고 반복적인 해결 방법을 무엇이라고 하는가?,모듈 분해,디자인 패턴,연관 관계,클래스 도출,2,"소프트웨어 설계, 반복적인 해결 방법, ","소프트웨어 설계에서 자주 발생하는 문제에 대한 일반적이고 반복적인 해결 방법을 ""디자인 패턴""이라고 합니다. 디자인 패턴은 소프트웨어 설계 시 발생하는 문제를 해결하기 위해 이전에 검증된 해결책을 재사용하는 방법론으로, 개발자들이 공통",1,1
18,"객체지향 분석기법의 하나로 객체 모형, 동적 모형, 기능 모형의 3개 모형을 생성하는 방법은?",Wirfs-Block Method,Rumbaugh Method,Booch Method,Jacobson Method,2,"객체지향 분석기법, 모형 생성, ","객체지향 분석기법에서는 객체 모형, 동적 모형, 기능 모형의 3가지 모형을 생성하는데, 이를 위해 다양한 방법이 사용됩니다. 이 중에서도 대표적으로 Booch Method, Rumbaugh Method, Jacobson Method 등이 있습니다.",1,1
19,입력되는 데이터를 컴퓨터의 프로세서가 처리하기 전에 미리 처리하여 프로세서가 처리하는 시간을 줄여주는 프로그램이나 하드웨어를 말하는 것은?,EAI,FEP,GPL,Duplexing,2,데이터 처리 속도,"데이터를 처리하는 속도를 높이기 위해 데이터를 미리 처리하는 프로그램이나 하드웨어를 의미하는데, 이를 통해 프로세서가 처리하는 시간을 줄일 수 있다.",1,1
20,객체 지향 개념 중 하나 이상의 유사한 객체들을 묶어 공통된 특성을 표현한 데이터 추상화를 의미하는 것은?,Method,Class,Field,Message,2,"객체, 데이터 추상화, ","객체 지향 프로그래밍에서 객체들을 묶어 공통된 특성을 표현하기 위해 사용하는 것은 Class이다. Class는 데이터 추상화를 통해 유사한 객체들을 하나의 형태로 정의하고, 그 객체들이 가져야 할 속성과 메서드를 정의하는 틀이다.",1,1
21,클린 코드(Clean Code)를 작성하기 위한 원칙으로 틀린 것은?,"추상화 : 하위 클래스/메소드/함수를 통해 애플리케이션의 특성을 간략하게 나타내고, 상세 내용은 상위 클래스/메소드/함수에서 구현한다.",의존성 : 다른 모듈에 미치는 영향을 최소화하도록 작성한다.,가독성 : 누구든지 읽기 쉽게 코드를 작성한다.,중복성 : 중복을 최소화 할 수 있는 코드를 작성한다.,1,"추상화, 중복성, ","추상화는 코드를 간략하게 나타내는 것을 의미하며, 중복성은 중복을 최소화하는 것을 의미합니다. 클린 코드를 작성하기 위한 원칙으로는 추상화와 중복성이 중요한데, 이 두 가지 원칙을 지키지 않는다면 코드의 가독성과 유지보수성이 떨어질 수 있습니다. 따라서, 선지 1과 선지 4는 클",2,1
22,"단위 테스트에서 테스트의 대상이 되는 하위 모듈을 호출하고, 파라미터를 전달하는 가상의 모듈로 상향식 테스트에 필요한 것은?",테스트 스텁(Test Stub),테스트 드라이버(Test Driver),테스트 슈트(Test Suites),테스트 케이스(Test Case),2,"하위 모듈, 파라미터 전달","하위 모듈을 호출하고 파라미터를 전달하는 가상의 모듈을 만들어주는 것이 필요한데, 이를 위해 사용하는 것이 테스트 스텁(Test Stub)이다. 테스트 스텁은 하위 모듈을 대체하여 테스트할 수 있도록 도와주는 역할을 한다.",2,1
23,스택(Stack)에 대한 옳은 내용으로만 나열된 것은?,"㉠, ㉡","㉡, ㉢",㉣,"㉠, ㉡, ㉢, ㉣",3,스택(Stack),"스택은 후입선출(LIFO, Last In First Out) 구조를 가지는 자료구조로, 데이터를 넣는 것을 push, 데이터를 꺼내는 것을 pop이라고 합니다. 따라서 스택에는 가장 최근에 추가된 데이터가 가장 먼저 제거됩니다. 이러한 특징을 기반으로 스택은 주로 함수 호출, 괄호 검사, 미로 탐색 등 다양한 알고리즘에서 사용",2,1
24,소프트웨어 모듈화의 장점이 아닌 것은?,오류의 파급 효과를 최소화한다.,기능의 분리가 가능하여 인터페이스가 복잡하다.,모듈의 재사용 가능으로 개발과 유지보수가 용이하다.,프로그램의 효율적인 관리가 가능하다.,2,"모듈화, 기능의 분리, ","소프트웨어 모듈화는 기능을 분리하여 모듈 단위로 관리하는 것을 말하며, 이를 통해 오류의 파급 효과를 최소화하고 모듈의 재사용이 가능해지며, 프로그램의 효율적인 관리가 가능해진다. 그러나 모듈화로 인해 인터페이스가 복잡해지는 단점도 존재한다.",2,1
25,소프트웨어 프로젝트 관리에 대한 설명으로 가장 옳은 것은?,개발에 따른 산출물 관리,소요인력은 최대화하되 정책 결정은 신속하게 처리,주어진 기간은 연장하되 최소의 비용으로 시스템을 개발,주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발,4,"소프트웨어 프로젝트 관리, 최소의 비용, ","소프트웨어 프로젝트 관리에서 중요한 것은 주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발하는 것입니다. 이를 위해 프로젝트의 산출물을 관리하고, 소요인력을 최대화하되 정책 결정은 신속하게 처리하여 프로젝트를 효율",2,1
26,정형 기술 검토(FTR)의 지침으로 틀린 것은?,의제를 제한한다.,논쟁과 반박을 제한한다.,문제 영역을 명확히 표현한다.,참가자의 수를 제한하지 않는다.,4,논쟁과 반박,"FTR은 논쟁과 반박을 통해 다양한 의견을 수렴하고 문제 해결을 위한 토론을 진행하는 것이 중요하며, 이를 통해 품질 향상을 이루는 과정이다. 따라서 논쟁과 반박을 제한하는 것은 FTR의 핵심 가이드라인을 위반하는 것이다.",2,1
27,소프트웨어 재공학의 주요 활동 중 기존 소프트웨어 시스템을 새로운 기술 또는 하드웨어 환경에서 사용할 수 있도록 변환하는 작업을 의미하는 것은?,Analysis,Migration,Restructuring,Reverse Engineering,2,"기존 소프트웨어 시스템, 새로운 기술 또는 하드웨어 환경","기존 소프트웨어 시스템을 새로운 기술 또는 하드웨어 환경에서 사용할 수 있도록 변환하는 작업을 의미하는 것은 Migration이다. Migration은 소프트웨어 재공학의 주요 활동 중 하나로, 기존 시스템을 새로",2,1
28,정보시스템 개발 단계에서 프로그래밍 언어 선택 시 고려할 사항으로 가장 거리가 먼 것은?,개발 정보시스템의 특성,사용자의 요구사항,컴파일러의 가용성,컴파일러의 독창성,4,,"프로그래밍 언어 선택 시 고려할 사항 중 가장 거리가 먼 것은 ""컴파일러의 독창성""입니다. 프로그래밍 언어 선택 시 주로 고려해야 하는 요소는 개발 정보시스템의 특성과 사용자의 요구사항입니다. 컴파일러의 가용성은 해당 언어를 지원하는 컴파일러가 존재하는지 여부를 고려하는 것이며, 컴파일러의 독",2,1
29,소프트웨어 패키징에 대한 설명으로 틀린 것은?,패키징은 개발자 중심으로 진행한다.,"신규 및 변경 개발소스를 식별하고, 이를 모듈화하여 상용제품으로 패키징한다.",고객의 편의성을 위해 매뉴얼 및 버전관리를 지속적으로 한다.,범용 환경에서 사용이 가능하도록 일반적인 배포 형태로 패키징이 진행된다.,1,개발자 중심,"소프트웨어 패키징은 개발자 중심으로 진행되지 않습니다. 패키징은 사용자 또는 고객 중심으로 진행되어야 하며, 사용자들이 쉽게 설치하고 사용할 수 있도록 설계되어야 합니다. 따라서, 올바른 설명은 ""고객 중심""이어야 합니다.",2,1
30,자료 구조의 분류 중 선형 구조가 아닌 것은?,트리,리스트,스택,데크,1,선형 구조,"선형 구조는 데이터가 일렬로 나열되어 있는 구조를 말하며, 이에 속하는 자료 구조로는 리스트, 스택, 큐 등이 있습니다. 트리는 데이터가 계층적으로 구조화된 비선형 구조이므로 선형 구조에 속하지 않습니다. 따라서, 선형 구조가 아닌 것은 트리입니다. 데크는 더블 엔디드 큐(Double-Ended",2,1
31,아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 아주 어려운 프로그램을 의미하는 것은?,Title Code,Source Code,Object Code,Alien Code,4,"유지보수 어려움, 오래된 프로그램","문제에서 설명하는 상황은 ""레거시 코드""를 의미합니다. 레거시 코드는 오래된 소프트웨어나 시스템을 의미하며, 이를 유지보수하는 것이 어려운 경우가 많습니다. 이는 해당 프로그램이 오랜 기간 동안 업데이트나 수정되지 않았거나, 원래 개발자가 없어서 문",2,1
32,소프트웨어를 재사용함으로써 얻을 수 있는 이점으로 가장 거리가 먼 것은?,생산성 증가,프로젝트 문서 공유,소프트웨어 품질 향상,새로운 개발 방법론 도입 용이,4,소프트웨어 재사용,"소프트웨어를 재사용함으로써 얻을 수 있는 이점 중 가장 거리가 먼 것은 새로운 개발 방법론 도입 용이입니다. 소프트웨어 재사용은 생산성 증가, 프로젝트 문서 공유, 소프트웨어 품질 향상 등의 이점을 가져다주지만, 새로운 개",2,1
33,인터페이스 간의 통신을 위해 이용되는 데이터 포맷이 아닌 것은?,AJTML,JSON,XML,YAML,1,데이터 포맷,"데이터를 특정 형식에 맞춰 구조화하여 저장하고 전송하기 위한 형식을 나타내는 것으로, 이 중에서 인터페이스 간의 통신을 위해 사용되는 데이터 포맷을 알아보는 문제이다.",2,1
34,프로그램 설계도의 하나인 NS Chart에 대한 설명으로 가장 거리가 먼 것은?,논리의 기술에 중점을 두고 도형을 이용한 표현 방법이다.,이해하기 쉽고 코드 변환이 용이하다.,화살표나 GOTO를 사용하여 이해하기 쉽다.,"연속, 선택, 반복 등의 제어 논리 구조를 표현한다.",3,"NS Chart, 논리의 기술","NS Chart는 논리의 기술에 중점을 두고 도형을 이용한 표현 방법이기 때문에, 다른 선지들과는 달리 논리적인 구조를 강조하며 설계되었다는 특징이 있다.",2,1
35,"순서가 A, B, C, D로 정해진 입력자료를 push, push, pop, push, push, pop, pop, pop 순서로 스택연산을 수행하는 경우 출력 결과는?",B D C A,A B C D,B A C D,A B D C,1,스택연산,"주어진 입력자료를 스택에 push하고 pop하는 과정을 순서대로 수행하면, 마지막에 pop된 값이 출력되는데, 이를 통해 올바른 출력 순서를 찾을 수 있다.",2,1
36,분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피벗(pivot)을 사용하며 최악의 경우  회의 비교를 수행해야 하는 정렬(Sort)은?,Selection Sort,Bubble Sort,Insert Sort,Quick Sort,4,"피벗(pivot), 정렬(Sort), ",퀵 소트(Quick Sort)는 피벗(pivot)을 사용하여 배열을 분할하고 정렬하는 분할 정복(Divide and Conquer) 알고리즘 중 하나입니다. 최악의 경우에는 피벗을 선택하는 방식에 따라 모든 요소를 비교해야 할 수도 있어서 비효율적일 수 있습니다.,2,1
37,화이트 박스 검사 기법에 해당하는 것으로만 짝지어진 것은?,"㉠, ㉡","㉠, ㉣","㉡, ㉤","㉢, ㉥",1,화이트 박스 검사 기법,"화이트 박스 검사 기법은 소프트웨어의 내부 구조와 코드를 분석하여 테스트를 수행하는 방법이다. 이는 소프트웨어의 로직이나 구현에 초점을 두고 테스트를 진행하는 것을 의미한다. 따라서, 화이트 박스 검사 기법에 해당하는 것은 ㉠, ㉡로 이루어",2,1
38,소프트웨어 품질 관련 국제 표준인 ISO/IEC 25000에 관한 설명으로 옳지 않은 것은?,소프트웨어 품질 평가를 위한 소프트웨어 품질평가 통합모델 표준이다.,System and Software Quality Requirements and Evaluation으로 줄여서 SQuaRE라고도 한다.,"ISO/IEC 2501n에서는 소프트웨어의 내부 측정, 외부측정, 사용품질 측정, 품질 측정 요소 등을 다룬다.",기존 소프트웨어 품질 평가 모델과 소프트웨어 평가 절차 모델인 ISO/IEC 9126과 ISO/IEC 14598을 통합하였다.,3,"ISO/IEC 25000, 소프트웨어 품질 평가, ","ISO/IEC 25000은 소프트웨어 품질 평가를 위한 국제 표준이지만, 선지 3에서 언급된 것처럼 소프트웨어의 내부 측정, 외부 측정, 사용품질 측정, 품질 측정 요소 등을 다루는 것은 ISO/IEC 250",2,1
39,코드 인스펙션과 관련한 설명으로 틀린 것은?,프로그램을 수행시켜보는 것 대신에 읽어보고 눈으로 확인하는 방법으로 볼 수 있다.,코드 품질 향상 기법 중 하나이다.,동적 테스트 시에만 활용하는 기법이다.,"결함과 함께 코딩 표준 준수 여부, 효율성 등의 다른 품질 이슈를 검사하기도 한다.",3,"코드 인스펙션, 동적 테스트, ","코드 인스펙션은 프로그램을 실행시키는 것이 아니라 코드를 읽고 분석하여 결함 및 다른 품질 이슈를 확인하는 것이다. 이는 코드 품질 향상을 위한 기법 중 하나이며, 정적 테스트 방법 중 하나로 동적 테스트 이외에도 사용된다.",2,1
40,"프로젝트에 내재된 위험 요소를 인식하고 그 영향을 분석하여 이를 관리하는 활동으로서, 프로젝트를 성공시키기 위하여 위험 요소를 사전에 예측, 대비하는 모든 기술과 활동을 포함하는 것은?",Critical Path Method,Risk Analysis,Work Breakdown Structure,Waterfall Model,2,"위험 요소, 예측, 대비, 관리, ",위험 분석은 프로젝트에 내재된 위험 요소를 사전에 예측하고 대비하는 활동을 의미합니다. 이를 통해 프로젝트를 성공시키기 위해 위험을 관리하고 최소화할 수 있습니다.,2,1
41,데이터베이스 설계 단계 중 물리적 설계 시 고려 사항으로 적절하지 않은 것은?,스키마의 평가 및 정제,응답 시간,저장 공간의 효율화,트랜잭션 처리량,1,"트랜잭션 처리량, ","데이터베이스 설계 단계 중 물리적 설계 시에는 트랜잭션 처리량을 고려해야 합니다. 트랜잭션 처리량은 시스템이 처리할 수 있는 트랜잭션의 양을 의미하며, 이를 고려하여 데이터베이스 시스템의 성능을 최적화하는 것이 중요합니다. 다른 선지들은 데이터베",3,1
42,DELETE 명령에 대한 설명으로 틀린 것은?,테이블의 행을 삭제할 때 사용한다.,WHERE 조건절이 없는 DELETE 명령을 수행하면 DROP TABLE 명령을 수행했을 때와 동일한 효과를 얻을 수 있다.,SQL을 사용 용도에 따라 분류할 경우 DML에 해당한다.,기본 사용 형식은 “DELETE FROM 테이블 [WHERE 조건];” 이다.,2,"DELETE, WHERE 조건절","DELETE 명령은 테이블의 행을 삭제할 때 사용되며, WHERE 조건절을 사용하여 삭제할 행을 지정할 수 있다. WHERE 조건절이 없는 DELETE 명령을 수행하면 모든 행이 삭제되므로 DROP TABLE 명령과는 다른 효과를 가진다.",3,1
43,"어떤 릴레이션 R의 모든 조인 종속성의 만족이 R의 후보 키를 통해서만 만족될 때, 이 릴레이션 R이 해당하는 정규형은?",제5정규형,제4정규형,제3정규형,제1정규형,1,"후보 키, ",후보 키는 릴레이션에서 유일하게 튜플을 식별할 수 있는 속성들의 집합을 말합니다. 어떤 릴레이션 R의 모든 조인 종속성의 만족이 후보 키를 통해서만 만족된다는 것은 후보 키 이외의 속성들이 조인 종속성을 만족시키지 못한다는 것을 의미합니다. 이러한 경우에 해당하는 정,3,1
44,E-R 모델에서 다중값 속성의 표기법은?,,,,,3,"다중값 속성, 표기법, ",E-R 모델에서 다중값 속성은 속성 내에 여러 개의 값을 가질 수 있는 경우를 의미합니다. 이러한 다중값 속성은 일반적으로 중괄호 { }로 표기하거나 속성 이름 옆에 다중값 속성을 나타내는 다이아몬드 기호를 사용하여 표기될 수 있습니다.,3,1
45,다른 릴레이션의 기본키를 참조하는 키를 의미하는 것은?,필드키,슈퍼키,외래키,후보키,3,"다른 릴레이션, 참조하는 키, ","외래키는 다른 릴레이션의 기본키를 참조하는 키를 의미합니다. 외래키는 데이터베이스에서 관계를 맺고 있는 두 테이블 간의 연결을 돕는 중요한 요소이며, 데이터 무결성을 유지하는 데에 도움을 줍니다.",3,1
46,관계해석에서 '모든 것에 대하여'의 의미를 나타내는 논리 기호는?,∃,∈,∀,⊂,3,"모든 것에 대하여', ",모든 것에 대하여'라는 표현은 전체 집합에 속하는 모든 원소를 대상으로 한다는 의미를 가지고 있습니다. 이를 나타내는 논리 기호는 '∀'입니다. 따라서 정답은 선지 3: ∀ 입니다.,3,1
47,다음 릴레이션의 Degree와 Cardinality는?,"Degree : 4, Cardinality : 3","Degree : 3, Cardinality : 4","Degree : 3, Cardinality : 12","Degree : 12, Cardinality : 3",1,"Degree, Cardinality, ","Degree는 릴레이션에 포함된 속성의 수를 나타내며, Cardinality는 릴레이션에 포함된 튜플의 수를 나타냅니다. Degree는 릴레이션 스키마의 속성 수를 의미하고, Cardinality는 릴레이션에 실제로 저장된 데이터의 수를 나타냅니다. 이를 통해 릴레이션의 구조와 크기를 파악할 수 있습니다",3,1
48,뷰(View)에 대한 설명으로 틀린 것은?,뷰 위에 또 다른 뷰를 정의할 수 있다.,DBA는 보안성 측면에서 뷰를 활용할 수 있다.,사용자가 필요한 정보를 요구에 맞게 가공하여 뷰로 만들 수 있다.,"SQL을 사용하면 뷰에 대한 삽입, 갱신, 삭제 연산 시 제약 사항이 없다.",4,"삽입, 갱신, 삭제 연산, ","SQL을 사용하여 뷰에 대한 삽입, 갱신, 삭제 연산을 수행할 때는 제약 사항이 있을 수 있습니다. 예를 들어, 뷰가 여러 테이블을 조인한 결과로 생성된 경우에는 해당 뷰에 대한 갱신 연산이 제한될 수 있습니다. 따라서 모든 경우에 뷰에 대한 삽입, 갱신, 삭제 연산이 자유롭게 이루",3,1
49,관계 대수식을 SQL 질의로 옳게 표현한 것은?,SELECT 학생 FROM 이름 WHERE 학과='교육';,SELECT 이름 FROM 학생 WHERE 학과='교육';,SELECT 교육 FROM 학과 WHERE 이름='학생';,SELECT 학과 FROM 학생 WHERE 이름='교육';,2,"SELECT, WHERE, ","관계 대수식에서 SELECT는 출력할 속성을 지정하고, WHERE는 조건을 지정하는 역할을 합니다. 따라서 올바른 SQL 질의는 조건에 맞는 학생의 이름을 출력하는 'SELECT 이름 FROM 학생 WHERE 학과='교육';'입니다.",3,1
50,정규화 과정에서 함수 종속이 A→B 이고 B→C 일 때 A→C인 관계를 제거하는 단계는?,1NF → 2NF,2NF → 3NF,3NF → BCNF,BCNF → 4NF,2,"함수 종속, ","정규화 과정에서 함수 종속이 A→B 이고 B→C 일 때 A→C인 관계를 제거하는 단계는 2NF → 3NF 단계이다. 이는 2NF에서 3NF로 넘어가는 과정 중에서 발생하는 것으로, 2NF에서는 부분 함수 종속을 제거하고 3NF에서는 이행 함수 종속을 제거하여 데이터베이스의 무결성을 유지하는 것을 목표로 한다",3,1
